DrugsIDs	DrugsNames	Labels
DB00014	Goserelin	Antineoplastic and Immunomodulating Agents
DB00014	Goserelin	Hormones
DB00014	Goserelin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00014	Goserelin	Hyperglycemia-Associated Agents
DB00014	Goserelin	Moderate Risk QTc-Prolonging Agents
DB00014	Goserelin	Peptides
DB00014	Goserelin	Proteins
DB00014	Goserelin	QTc Prolonging Agents
DB00015	Reteplase	Amino Acids, Peptides, and Proteins
DB00015	Reteplase	Biological Factors
DB00015	Reteplase	Blood and Blood Forming Organs
DB00015	Reteplase	Blood Proteins
DB00015	Reteplase	Cardiovascular Agents
DB00015	Reteplase	Enzymes and Coenzymes
DB00015	Reteplase	Hematologic Agents
DB00015	Reteplase	Proteins
DB00016	Erythropoietin	Amino Acids, Peptides, and Proteins
DB00016	Erythropoietin	Biological Factors
DB00016	Erythropoietin	Blood and Blood Forming Organs
DB00016	Erythropoietin	Carbohydrates
DB00016	Erythropoietin	Hematologic Agents
DB00016	Erythropoietin	Peptides
DB00016	Erythropoietin	Proteins
DB00017	Salmon Calcitonin	Amino Acids, Peptides, and Proteins
DB00017	Salmon Calcitonin	Hormones
DB00017	Salmon Calcitonin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00017	Salmon Calcitonin	Peptides
DB00017	Salmon Calcitonin	Proteins
DB00018	Interferon alfa-n3	Amino Acids, Peptides, and Proteins
DB00018	Interferon alfa-n3	Biological Factors
DB00018	Interferon alfa-n3	Immunosuppressive Agents
DB00018	Interferon alfa-n3	Myelosuppressive Agents
DB00018	Interferon alfa-n3	Peptides
DB00018	Interferon alfa-n3	Proteins
DB00019	Pegfilgrastim	Amino Acids, Peptides, and Proteins
DB00019	Pegfilgrastim	Antineoplastic and Immunomodulating Agents
DB00019	Pegfilgrastim	Biological Factors
DB00019	Pegfilgrastim	Carbohydrates
DB00019	Pegfilgrastim	Peptides
DB00019	Pegfilgrastim	Proteins
DB00020	Sargramostim	Amino Acids, Peptides, and Proteins
DB00020	Sargramostim	Antineoplastic and Immunomodulating Agents
DB00020	Sargramostim	Biological Factors
DB00020	Sargramostim	Carbohydrates
DB00020	Sargramostim	Immunologic Factors
DB00020	Sargramostim	Peptides
DB00020	Sargramostim	Proteins
DB00022	Peginterferon alfa-2b	Alcohols
DB00022	Peginterferon alfa-2b	Amino Acids, Peptides, and Proteins
DB00022	Peginterferon alfa-2b	Anti-Infective Agents
DB00022	Peginterferon alfa-2b	Antineoplastic and Immunomodulating Agents
DB00022	Peginterferon alfa-2b	Biological Factors
DB00022	Peginterferon alfa-2b	Biomedical and Dental Materials
DB00022	Peginterferon alfa-2b	Cytochrome P-450 CYP1A2 Inhibitors
DB00022	Peginterferon alfa-2b	Cytochrome P-450 CYP2D6 Inhibitors
DB00022	Peginterferon alfa-2b	Cytochrome P-450 Enzyme Inducers
DB00022	Peginterferon alfa-2b	Cytochrome P-450 Enzyme Inhibitors
DB00022	Peginterferon alfa-2b	Immunosuppressive Agents
DB00022	Peginterferon alfa-2b	Myelosuppressive Agents
DB00022	Peginterferon alfa-2b	Peptides
DB00022	Peginterferon alfa-2b	Proteins
DB00023	Asparaginase Escherichia coli	Antineoplastic Agents
DB00023	Asparaginase Escherichia coli	Antineoplastic and Immunomodulating Agents
DB00023	Asparaginase Escherichia coli	Enzymes and Coenzymes
DB00024	Thyrotropin alfa	Amino Acids, Peptides, and Proteins
DB00024	Thyrotropin alfa	Hormones
DB00024	Thyrotropin alfa	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00024	Thyrotropin alfa	Peptides
DB00025	Antihemophilic factor, human recombinant	Amino Acids, Peptides, and Proteins
DB00025	Antihemophilic factor, human recombinant	Biological Factors
DB00025	Antihemophilic factor, human recombinant	Blood and Blood Forming Organs
DB00025	Antihemophilic factor, human recombinant	Blood Proteins
DB00025	Antihemophilic factor, human recombinant	Carbohydrates
DB00025	Antihemophilic factor, human recombinant	Proteins
DB00026	Anakinra	Amino Acids, Peptides, and Proteins
DB00026	Anakinra	Antineoplastic and Immunomodulating Agents
DB00026	Anakinra	Biological Factors
DB00026	Anakinra	Immunosuppressive Agents
DB00026	Anakinra	Peptides
DB00026	Anakinra	Proteins
DB00027	Gramicidin D	Amino Acids, Peptides, and Proteins
DB00027	Gramicidin D	Anti-Bacterial Agents
DB00027	Gramicidin D	Anti-Infective Agents
DB00027	Gramicidin D	P-glycoprotein/ABCB1 Inhibitors
DB00027	Gramicidin D	P-glycoprotein/ABCB1 Substrates
DB00027	Gramicidin D	Peptides
DB00027	Gramicidin D	Proteins
DB00028	Immune Globulin Human	Amino Acids, Peptides, and Proteins
DB00028	Immune Globulin Human	Antibodies
DB00028	Immune Globulin Human	Blood Proteins
DB00028	Immune Globulin Human	Globulins
DB00028	Immune Globulin Human	Immunoglobulins
DB00028	Immune Globulin Human	Immunologic Factors
DB00028	Immune Globulin Human	Immunoproteins
DB00028	Immune Globulin Human	Proteins
DB00028	Immune Globulin Human	Serum Globulins
DB00029	Anistreplase	Amino Acids, Peptides, and Proteins
DB00029	Anistreplase	Biological Factors
DB00029	Anistreplase	Blood and Blood Forming Organs
DB00029	Anistreplase	Blood Proteins
DB00029	Anistreplase	Cardiovascular Agents
DB00029	Anistreplase	Enzymes and Coenzymes
DB00029	Anistreplase	Hematologic Agents
DB00029	Anistreplase	Proteins
DB00030	Insulin Human	Alimentary Tract and Metabolism
DB00030	Insulin Human	Amino Acids, Peptides, and Proteins
DB00030	Insulin Human	Hormones
DB00030	Insulin Human	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00030	Insulin Human	Peptides
DB00031	Tenecteplase	Amino Acids, Peptides, and Proteins
DB00031	Tenecteplase	Biological Factors
DB00031	Tenecteplase	Blood and Blood Forming Organs
DB00031	Tenecteplase	Blood Proteins
DB00031	Tenecteplase	Cardiovascular Agents
DB00031	Tenecteplase	Enzymes and Coenzymes
DB00031	Tenecteplase	Hematologic Agents
DB00031	Tenecteplase	Proteins
DB00032	Menotropins	Amino Acids, Peptides, and Proteins
DB00032	Menotropins	Complex Mixtures
DB00032	Menotropins	Genito Urinary System and Sex Hormones
DB00032	Menotropins	Hormones
DB00032	Menotropins	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00032	Menotropins	Peptides
DB00033	Interferon gamma-1b	Amino Acids, Peptides, and Proteins
DB00033	Interferon gamma-1b	Biological Factors
DB00033	Interferon gamma-1b	Immunosuppressive Agents
DB00033	Interferon gamma-1b	Myelosuppressive Agents
DB00033	Interferon gamma-1b	Peptides
DB00033	Interferon gamma-1b	Proteins
DB00034	Interferon Alfa-2a, Recombinant	Amino Acids, Peptides, and Proteins
DB00034	Interferon Alfa-2a, Recombinant	Antineoplastic and Immunomodulating Agents
DB00034	Interferon Alfa-2a, Recombinant	Biological Factors
DB00034	Interferon Alfa-2a, Recombinant	Immunosuppressive Agents
DB00034	Interferon Alfa-2a, Recombinant	Myelosuppressive Agents
DB00034	Interferon Alfa-2a, Recombinant	Peptides
DB00034	Interferon Alfa-2a, Recombinant	Proteins
DB00035	Desmopressin	Agents that produce hypertension
DB00035	Desmopressin	Amino Acids, Peptides, and Proteins
DB00035	Desmopressin	Cardiovascular Agents
DB00035	Desmopressin	Hematologic Agents
DB00035	Desmopressin	Hormones
DB00035	Desmopressin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00035	Desmopressin	Peptides
DB00035	Desmopressin	Proteins
DB00036	Coagulation factor VIIa Recombinant Human	Amino Acids, Peptides, and Proteins
DB00036	Coagulation factor VIIa Recombinant Human	Biological Factors
DB00036	Coagulation factor VIIa Recombinant Human	Blood and Blood Forming Organs
DB00036	Coagulation factor VIIa Recombinant Human	Blood Proteins
DB00036	Coagulation factor VIIa Recombinant Human	Enzymes and Coenzymes
DB00036	Coagulation factor VIIa Recombinant Human	Proteins
DB00038	Oprelvekin	Amino Acids, Peptides, and Proteins
DB00038	Oprelvekin	Antineoplastic and Immunomodulating Agents
DB00038	Oprelvekin	Biological Factors
DB00038	Oprelvekin	Peptides
DB00038	Oprelvekin	Proteins
DB00039	Palifermin	Amino Acids, Peptides, and Proteins
DB00039	Palifermin	Biological Factors
DB00039	Palifermin	Peptides
DB00039	Palifermin	Proteins
DB00040	Glucagon	Amino Acids, Peptides, and Proteins
DB00040	Glucagon	Gastrointestinal Agents
DB00040	Glucagon	Hormones
DB00040	Glucagon	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00040	Glucagon	Peptides
DB00040	Glucagon	Proteins
DB00041	Aldesleukin	Amino Acids, Peptides, and Proteins
DB00041	Aldesleukin	Anti-Infective Agents
DB00041	Aldesleukin	Antineoplastic Agents
DB00041	Aldesleukin	Antineoplastic and Immunomodulating Agents
DB00041	Aldesleukin	Biological Factors
DB00041	Aldesleukin	Cytochrome P-450 CYP3A Inhibitors
DB00041	Aldesleukin	Cytochrome P-450 CYP3A4 Inhibitors
DB00041	Aldesleukin	Cytochrome P-450 Enzyme Inhibitors
DB00041	Aldesleukin	Hypotensive Agents
DB00041	Aldesleukin	Immunosuppressive Agents
DB00041	Aldesleukin	Myelosuppressive Agents
DB00041	Aldesleukin	Peptides
DB00041	Aldesleukin	Proteins
DB00042	Botulinum Toxin Type B	Amino Acids, Peptides, and Proteins
DB00042	Botulinum Toxin Type B	Biological Factors
DB00042	Botulinum Toxin Type B	Central Nervous System Agents
DB00042	Botulinum Toxin Type B	Central Nervous System Depressants
DB00042	Botulinum Toxin Type B	Complex Mixtures
DB00042	Botulinum Toxin Type B	Enzymes and Coenzymes
DB00042	Botulinum Toxin Type B	Membrane Transport Modulators
DB00042	Botulinum Toxin Type B	Musculo-Skeletal System
DB00042	Botulinum Toxin Type B	Neurotransmitter Agents
DB00042	Botulinum Toxin Type B	Proteins
DB00043	Omalizumab	Amino Acids, Peptides, and Proteins
DB00043	Omalizumab	Antibodies
DB00043	Omalizumab	Antibodies, Monoclonal
DB00043	Omalizumab	Blood Proteins
DB00043	Omalizumab	Globulins
DB00043	Omalizumab	Immunoglobulins
DB00043	Omalizumab	Immunoproteins
DB00043	Omalizumab	Proteins
DB00043	Omalizumab	Respiratory System Agents
DB00043	Omalizumab	Serum Globulins
DB00044	Lutropin alfa	Genito Urinary System and Sex Hormones
DB00046	Insulin Lispro	Alimentary Tract and Metabolism
DB00046	Insulin Lispro	Amino Acids, Peptides, and Proteins
DB00046	Insulin Lispro	Hormones
DB00046	Insulin Lispro	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00046	Insulin Lispro	Peptides
DB00047	Insulin Glargine	Alimentary Tract and Metabolism
DB00047	Insulin Glargine	Amino Acids, Peptides, and Proteins
DB00047	Insulin Glargine	Hormones
DB00047	Insulin Glargine	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00047	Insulin Glargine	Peptides
DB00048	Collagenase clostridium histolyticum	Dermatologicals
DB00048	Collagenase clostridium histolyticum	Enzymes and Coenzymes
DB00048	Collagenase clostridium histolyticum	Musculo-Skeletal System
DB00049	Rasburicase	Enzymes and Coenzymes
DB00049	Rasburicase	Musculo-Skeletal System
DB00050	Cetrorelix	Amino Acids, Peptides, and Proteins
DB00050	Cetrorelix	Hormones
DB00050	Cetrorelix	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00050	Cetrorelix	Peptides
DB00050	Cetrorelix	Proteins
DB00051	Adalimumab	Amino Acids, Peptides, and Proteins
DB00051	Adalimumab	Anti-Inflammatory Agents
DB00051	Adalimumab	Antibodies
DB00051	Adalimumab	Antibodies, Monoclonal
DB00051	Adalimumab	Antineoplastic and Immunomodulating Agents
DB00051	Adalimumab	Blood Proteins
DB00051	Adalimumab	Globulins
DB00051	Adalimumab	Immunoglobulins
DB00051	Adalimumab	Immunoproteins
DB00051	Adalimumab	Immunosuppressive Agents
DB00051	Adalimumab	Proteins
DB00051	Adalimumab	Serum Globulins
DB00052	Somatotropin	Amino Acids, Peptides, and Proteins
DB00052	Somatotropin	Hormones
DB00052	Somatotropin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00052	Somatotropin	Peptides
DB00053	Imiglucerase	Alimentary Tract and Metabolism
DB00053	Imiglucerase	Enzymes and Coenzymes
DB00054	Abciximab	Amino Acids, Peptides, and Proteins
DB00054	Abciximab	Antibodies
DB00054	Abciximab	Blood and Blood Forming Organs
DB00054	Abciximab	Blood Proteins
DB00054	Abciximab	Globulins
DB00054	Abciximab	Hematologic Agents
DB00054	Abciximab	Immunoglobulins
DB00054	Abciximab	Immunoproteins
DB00054	Abciximab	Peptides
DB00054	Abciximab	Proteins
DB00054	Abciximab	Serum Globulins
DB00055	Drotrecogin alfa	Amino Acids, Peptides, and Proteins
DB00055	Drotrecogin alfa	Anti-Infective Agents
DB00055	Drotrecogin alfa	Biological Factors
DB00055	Drotrecogin alfa	Blood and Blood Forming Organs
DB00055	Drotrecogin alfa	Blood Proteins
DB00055	Drotrecogin alfa	Carbohydrates
DB00055	Drotrecogin alfa	Enzymes and Coenzymes
DB00055	Drotrecogin alfa	Proteins
DB00056	Gemtuzumab ozogamicin	Amino Acids, Peptides, and Proteins
DB00056	Gemtuzumab ozogamicin	Antibodies
DB00056	Gemtuzumab ozogamicin	Antibodies, Monoclonal
DB00056	Gemtuzumab ozogamicin	Antineoplastic Agents
DB00056	Gemtuzumab ozogamicin	Antineoplastic and Immunomodulating Agents
DB00056	Gemtuzumab ozogamicin	Blood Proteins
DB00056	Gemtuzumab ozogamicin	Carbohydrates
DB00056	Gemtuzumab ozogamicin	Globulins
DB00056	Gemtuzumab ozogamicin	Glycosides
DB00056	Gemtuzumab ozogamicin	Immunoglobulins
DB00056	Gemtuzumab ozogamicin	Immunoproteins
DB00056	Gemtuzumab ozogamicin	Immunosuppressive Agents
DB00056	Gemtuzumab ozogamicin	Myelosuppressive Agents
DB00056	Gemtuzumab ozogamicin	Noxae
DB00056	Gemtuzumab ozogamicin	Proteins
DB00056	Gemtuzumab ozogamicin	Serum Globulins
DB00056	Gemtuzumab ozogamicin	Toxic Actions
DB00057	Indium In-111 satumomab pendetide	Acids, Acyclic
DB00057	Indium In-111 satumomab pendetide	Amines
DB00057	Indium In-111 satumomab pendetide	Amino Acids, Peptides, and Proteins
DB00057	Indium In-111 satumomab pendetide	Antibodies
DB00057	Indium In-111 satumomab pendetide	Blood Proteins
DB00057	Indium In-111 satumomab pendetide	Fatty Acids
DB00057	Indium In-111 satumomab pendetide	Fatty Acids, Volatile
DB00057	Indium In-111 satumomab pendetide	Globulins
DB00057	Indium In-111 satumomab pendetide	Immunoglobulins
DB00057	Indium In-111 satumomab pendetide	Immunoproteins
DB00057	Indium In-111 satumomab pendetide	Lipids
DB00057	Indium In-111 satumomab pendetide	Peptides
DB00057	Indium In-111 satumomab pendetide	Proteins
DB00057	Indium In-111 satumomab pendetide	Serum Globulins
DB00058	Alpha-1-proteinase inhibitor	Amino Acids, Peptides, and Proteins
DB00058	Alpha-1-proteinase inhibitor	Blood and Blood Forming Organs
DB00058	Alpha-1-proteinase inhibitor	Blood Proteins
DB00058	Alpha-1-proteinase inhibitor	Carbohydrates
DB00058	Alpha-1-proteinase inhibitor	Enzyme Inhibitors
DB00058	Alpha-1-proteinase inhibitor	Globulins
DB00058	Alpha-1-proteinase inhibitor	Peptides
DB00058	Alpha-1-proteinase inhibitor	Proteins
DB00058	Alpha-1-proteinase inhibitor	Serum Globulins
DB00059	Pegaspargase	Alcohols
DB00059	Pegaspargase	Antineoplastic Agents
DB00059	Pegaspargase	Antineoplastic and Immunomodulating Agents
DB00059	Pegaspargase	Biomedical and Dental Materials
DB00059	Pegaspargase	Enzymes and Coenzymes
DB00059	Pegaspargase	Immunosuppressive Agents
DB00060	Interferon beta-1a	Amino Acids, Peptides, and Proteins
DB00060	Interferon beta-1a	Anti-Infective Agents
DB00060	Interferon beta-1a	Antineoplastic and Immunomodulating Agents
DB00060	Interferon beta-1a	Biological Factors
DB00060	Interferon beta-1a	Immunologic Factors
DB00060	Interferon beta-1a	Peptides
DB00060	Interferon beta-1a	Proteins
DB00061	Pegademase bovine	Enzymes and Coenzymes
DB00062	Human Serum Albumin	Amino Acids, Peptides, and Proteins
DB00062	Human Serum Albumin	Blood Proteins
DB00062	Human Serum Albumin	Proteins
DB00063	Eptifibatide	Amino Acids, Peptides, and Proteins
DB00063	Eptifibatide	Blood and Blood Forming Organs
DB00063	Eptifibatide	Hematologic Agents
DB00065	Infliximab	Amino Acids, Peptides, and Proteins
DB00065	Infliximab	Antibodies
DB00065	Infliximab	Antibodies, Monoclonal
DB00065	Infliximab	Antineoplastic and Immunomodulating Agents
DB00065	Infliximab	Blood Proteins
DB00065	Infliximab	Dermatologicals
DB00065	Infliximab	Gastrointestinal Agents
DB00065	Infliximab	Globulins
DB00065	Infliximab	Immunoglobulins
DB00065	Infliximab	Immunoproteins
DB00065	Infliximab	Immunosuppressive Agents
DB00065	Infliximab	Proteins
DB00065	Infliximab	Serum Globulins
DB00066	Follitropin	Amino Acids, Peptides, and Proteins
DB00066	Follitropin	Genito Urinary System and Sex Hormones
DB00066	Follitropin	Hormones
DB00066	Follitropin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00066	Follitropin	Peptides
DB00066	Follitropin	Proteins
DB00067	Vasopressin	Amino Acids, Peptides, and Proteins
DB00067	Vasopressin	Cardiovascular Agents
DB00067	Vasopressin	Hematologic Agents
DB00067	Vasopressin	Hormones
DB00067	Vasopressin	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00067	Vasopressin	Peptides
DB00067	Vasopressin	Proteins
DB00068	Interferon beta-1b	Amino Acids, Peptides, and Proteins
DB00068	Interferon beta-1b	Antineoplastic and Immunomodulating Agents
DB00068	Interferon beta-1b	Biological Factors
DB00068	Interferon beta-1b	Immunologic Factors
DB00068	Interferon beta-1b	Immunosuppressive Agents
DB00068	Interferon beta-1b	Myelosuppressive Agents
DB00068	Interferon beta-1b	Peptides
DB00068	Interferon beta-1b	Proteins
DB00069	Interferon alfacon-1	Amino Acids, Peptides, and Proteins
DB00069	Interferon alfacon-1	Anti-Infective Agents
DB00069	Interferon alfacon-1	Antineoplastic and Immunomodulating Agents
DB00069	Interferon alfacon-1	Biological Factors
DB00069	Interferon alfacon-1	Immunosuppressive Agents
DB00069	Interferon alfacon-1	Myelosuppressive Agents
DB00069	Interferon alfacon-1	Peptides
DB00069	Interferon alfacon-1	Proteins
DB00070	Hyaluronidase	Amino Acids, Peptides, and Proteins
DB00070	Hyaluronidase	Biological Factors
DB00070	Hyaluronidase	Blood and Blood Forming Organs
DB00070	Hyaluronidase	Carbohydrates
DB00070	Hyaluronidase	Enzymes and Coenzymes
DB00070	Hyaluronidase	Proteins
DB00071	Insulin Pork	Alimentary Tract and Metabolism
DB00071	Insulin Pork	Amino Acids, Peptides, and Proteins
DB00071	Insulin Pork	Hormones
DB00071	Insulin Pork	Hormones, Hormone Substitutes, and Hormone Antagonists
DB00071	Insulin Pork	Peptides
DB00071	Insulin Pork	Proteins
DB00072	Trastuzumab	Amino Acids, Peptides, and Proteins
DB00072	Trastuzumab	Antibodies
DB00072	Trastuzumab	Antibodies, Monoclonal
DB00072	Trastuzumab	Antineoplastic Agents
DB00072	Trastuzumab	Antineoplastic and Immunomodulating Agents
DB00072	Trastuzumab	Blood Proteins
DB00072	Trastuzumab	Globulins
DB00072	Trastuzumab	Immunoglobulins
DB00072	Trastuzumab	Immunoproteins
DB00072	Trastuzumab	Immunosuppressive Agents
DB00072	Trastuzumab	Proteins
DB00072	Trastuzumab	Serum Globulins
DB00073	Rituximab	Amino Acids, Peptides, and Proteins
DB00073	Rituximab	Antibodies
DB00073	Rituximab	Antibodies, Monoclonal
DB00073	Rituximab	Antineoplastic Agents
DB00073	Rituximab	Blood Proteins
DB00073	Rituximab	Globulins
DB00073	Rituximab	Immunoglobulins
DB00073	Rituximab	Immunologic Factors
DB00073	Rituximab	Immunoproteins
DB00073	Rituximab	Immunosuppressive Agents
DB00073	Rituximab	Myelosuppressive Agents
DB00073	Rituximab	Proteins
DB00073	Rituximab	Serum Globulins
DB00074	Basiliximab	Amino Acids, Peptides, and Proteins
DB00074	Basiliximab	Antibodies
DB00074	Basiliximab	Antineoplastic and Immunomodulating Agents
DB00074	Basiliximab	Blood Proteins
DB00074	Basiliximab	Globulins
DB00074	Basiliximab	Immunoglobulins
DB00074	Basiliximab	Immunologic Factors
DB00074	Basiliximab	Immunoproteins
DB00074	Basiliximab	Immunosuppressive Agents
DB00074	Basiliximab	Proteins
DB00074	Basiliximab	Serum Globulins
DB00075	Muromonab	Amino Acids, Peptides, and Proteins
DB00075	Muromonab	Antibodies
DB00075	Muromonab	Antibodies, Monoclonal
DB00075	Muromonab	Antineoplastic and Immunomodulating Agents
DB00075	Muromonab	Blood Proteins
DB00075	Muromonab	Globulins
DB00075	Muromonab	Immunoglobulins
DB00075	Muromonab	Immunologic Factors
DB00075	Muromonab	Immunoproteins
DB00075	Muromonab	Immunosuppressive Agents
DB00075	Muromonab	Proteins
DB00075	Muromonab	Serum Globulins
DB00076	Digoxin Immune Fab (Ovine)	Immunoglobulins
DB00076	Digoxin Immune Fab (Ovine)	Serum Globulins
DB00078	Ibritumomab tiuxetan	Amino Acids, Peptides, and Proteins
DB00078	Ibritumomab tiuxetan	Antibodies
DB00078	Ibritumomab tiuxetan	Blood Proteins
DB00078	Ibritumomab tiuxetan	Globulins
DB00078	Ibritumomab tiuxetan	Immunoglobulins
DB00078	Ibritumomab tiuxetan	Immunoproteins
DB00078	Ibritumomab tiuxetan	Immunosuppressive Agents
DB00078	Ibritumomab tiuxetan	Myelosuppressive Agents
DB00078	Ibritumomab tiuxetan	Proteins
DB00078	Ibritumomab tiuxetan	Serum Globulins
DB00080	Daptomycin	Amino Acids, Peptides, and Proteins
DB00080	Daptomycin	Anti-Bacterial Agents
DB00080	Daptomycin	Anti-Infective Agents
DB00080	Daptomycin	Antibacterials for Systemic Use
DB00080	Daptomycin	Antiinfectives for Systemic Use
DB00080	Daptomycin	Lipids
DB00080	Daptomycin	Peptides
DB00081	Tositumomab	Amino Acids, Peptides, and Proteins
DB00081	Tositumomab	Antibodies
DB00081	Tositumomab	Antineoplastic Agents
DB00081	Tositumomab	Blood Proteins
DB00081	Tositumomab	Globulins
DB00081	Tositumomab	Immunoglobulins
DB00081	Tositumomab	Immunoproteins
DB00081	Tositumomab	Immunosuppressive Agents
